;SentenceId;PhraseId;Phrase;Sentiment
5331;7566;139464;It leaves little doubt that Kidman has become one of our best actors .;4
5332;881;19897;... pitiful , slapdash disaster .;0
5333;634;14709;Triple X is a double agent , and he 's one bad dude .;3
5334;2580;52230;As the dominant Christine , Sylvie Testud is icily brilliant .;3
5335;767;17709;A muddled limp biscuit of a movie , a vampire soap opera that does n't make much sense even on its own terms .;0
5336;1050;23173;Not only are the film 's Sopranos gags incredibly dated and unfunny , they also demonstrate how desperate the makers of this ` we 're - doing-it-for - the-cash ' sequel were .;0
5337;7137;132348;Wimps out by going for that PG-13 rating , so the more graphic violence is mostly off-screen and the sexuality is muted .;1
5338;1697;35947;A raunchy and frequently hilarious follow-up to the gifted Korean American stand-up 's I 'm the One That I Want .;3
5339;6079;114292;The script is too mainstream and the psychology too textbook to intrigue .;1
5340;5166;98559;Whether or not you buy Mr. Broomfield 's findings , the film acquires an undeniable entertainment value as the slight , pale Mr. Broomfield continues to force himself on people and into situations that would make lesser men run for cover .;3
5341;5774;109036;A movie you observe , rather than one you enter into .;1
5342;7814;143963;The Ring never lets you off the hook .;3
5343;8350;152957;Purposefully shocking in its eroticized gore , if unintentionally dull in its lack of poetic frissons .;0
5344;2460;50078;It 's a bad action movie because there 's no rooting interest and the spectacle is grotesque and boring .;0
5345;710;16508;Even a hardened voyeur would require the patience of Job to get through this interminable , shapeless documentary about the swinging subculture .;0
5346;2761;55348;-LRB- A -RRB- stuporously solemn film .;2
5347;5264;100334;Ensemble movies , like soap operas , depend on empathy .;2
5348;966;21583;Real Women Have Curves wears its empowerment on its sleeve but even its worst harangues are easy to swallow thanks to remarkable performances by Ferrera and Ontiveros .;3
5349;822;18730;Metaphors abound , but it is easy to take this film at face value and enjoy its slightly humorous and tender story .;3
5350;2362;48370;It 's plotless , shapeless -- and yet , it must be admitted , not entirely humorless .;1
5351;3347;65974;This submarine drama earns the right to be favorably compared to Das Boot .;3
5352;4426;85583;The obligatory break-ups and hook-ups do n't seem to have much emotional impact on the characters .;2
5353;1114;24482;Not only is it a charming , funny and beautifully crafted import , it uses very little dialogue , making it relatively effortless to read and follow the action at the same time .;4
5354;1378;29757;Funny and touching .;3
5355;1983;41318;It 's an 88-minute highlight reel that 's 86 minutes too long .;0
