;SentenceId;PhraseId;Phrase;Sentiment
1067;4256;82422;All the movie 's narrative gymnastics ca n't disguise the fact that it 's inauthentic at its core and that its story just is n't worth telling .;0
1068;6084;114393;A canny , derivative , wildly gruesome portrait of a London sociopath who 's the scariest of sadists .;2
1069;999;22241;There 's plenty to enjoy -- in no small part thanks to Lau .;3
1070;6704;124748;Much of the movie 's charm lies in the utter cuteness of Stuart and Margolo .;3
1071;662;15448;Little is done to support the premise other than fling gags at it to see which ones shtick .;1
1072;5857;110526;Barrels along at the start before becoming mired in sentimentality .;2
1073;4727;90840;A rambling ensemble piece with loosely connected characters and plots that never quite gel .;1
1074;3522;69279;An awful snooze .;0
1075;2108;43543;Sodden and glum , even in those moments where it 's supposed to feel funny and light .;1
1076;6339;118603;It 's all entertaining enough , but do n't look for any hefty anti-establishment message in what is essentially a whip-crack of a buddy movie that ends with a whimper .;2
1077;3086;61088;Fessenden continues to do interesting work , and it would be nice to see what he could make with a decent budget .;3
1078;3118;61706;The script ?;1
1079;4470;86337;Thanks to Ice Cube , Benjamins feels an awful lot like Friday in Miami .;2
1080;385;9206;Leguizamo and Jones are both excellent and the rest of the cast is uniformly superb .;4
1081;8391;153656;The film lapses too often into sugary sentiment and withholds delivery on the pell-mell pyrotechnics its punchy style promises .;1
1082;3179;62809;A fine , rousing , G-rated family film , aimed mainly at little kids but with plenty of entertainment value to keep grown-ups from squirming in their seats .;4
1083;7428;137285;Make no mistake , ivans xtc .;2
1084;3183;62895;... a spoof comedy that carries its share of laughs -- sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh .;4
1085;2610;52704;For VeggieTales fans , this is more appetizing than a side dish of asparagus .;4
1086;1900;39764;Secretary is not a movie about fetishism .;2
1087;1678;35599;It cuts to the core of what it actually means to face your fears , to be a girl in a world of boys , to be a boy truly in love with a girl , and to ride the big metaphorical wave that is life -- wherever it takes you .;4
1088;2583;52267;Every child 's story is what matters .;2
1089;7718;142251;Impossible as it may sound , this film 's heart is even more embracing than Monty , if only because it accepts nasty behavior and severe flaws as part of the human condition .;4
1090;693;16105;They ought to be a whole lot scarier than they are in this tepid genre offering .;1
1091;7211;133671;Think of it as Gidget , only with muscles and a lot more smarts , but just as endearing and easy to watch .;4
1092;8271;151628;If Jews were Catholics , this would be Catechism;2
1093;883;19911;You end up simply admiring this bit or that , this performance or that .;2
1094;7480;138217;Possibly the most irresponsible picture ever released by a major film studio .;1
1095;546;12678;One gets the impression the creators of Do n't Ask Do n't Tell laughed a hell of a lot at their own jokes .;2
1096;8488;155081;Exudes the fizz of a Busby Berkeley musical and the visceral excitement of a sports extravaganza .;4
1097;8324;152540;Devos and Cassel have tremendous chemistry -- their sexual and romantic tension , while never really vocalized , is palpable .;4
1098;8026;147479;Stress ` dumb . ';1
1099;7669;141374;A finely tuned mood piece , a model of menacing atmosphere .;4
1100;6652;123867;At once a testament to the divine calling of education and a demonstration of the painstaking process of imparting knowledge .;3
1101;5400;102584;... a bland murder-on-campus yawner .;0
1102;1187;25895;Like Rudy Yellow Lodge , Eyre needs to take a good sweat to clarify his cinematic vision before his next creation and remember the lessons of the trickster spider .;0
1103;6953;129300;The film 's gamble to occasionally break up the live-action scenes with animated sequences pays off , as does its sensitive handling of some delicate subject matter .;3
1104;1040;22993;into Scrooge .;2
1105;7423;137220;Another week , another gross-out college comedy -- ugh .;0
1106;1047;23109;My own minority report is that it stinks .;0
1107;2844;56617;It 's a ripper of a yarn and I for one enjoyed the thrill of the chill .;3
1108;325;7973;See it .;4
1109;744;17137;Van Wilder has a built-in audience , but only among those who are drying out from spring break and are still unconcerned about what they ingest .;1
1110;1408;30314;A wild ride with eight boarders from Venice Beach that was a deserved co-winner of the Audience Award for documentaries at the Sundance Film Festival .;4
1111;7829;144246;Will anyone who is n't a Fangoria subscriber be excited that it has n't gone straight to video ?;1
1112;6616;123248;E.T. works because its flabbergasting principals , 14-year-old Robert MacNaughton , 6-year-old Drew Barrymore and 10-year-old Henry Thomas , convince us of the existence of the wise , wizened visitor from a faraway planet .;4
1113;8223;150844;Average , at best , I 'm afraid .;1
1114;6357;118939;Blade II has a brilliant director and charismatic star , but it suffers from rampant vampire devaluation .;2
1115;5031;96323;Gives everyone something to shout about .;4
1116;6796;126410;It 's a frightful vanity film that , no doubt , pays off what debt Miramax felt they owed to Benigni .;0
1117;5245;99950;It 's not particularly subtle ... However , it still manages to build to a terrifying , if obvious , conclusion .;2
1118;2639;53190;Nothing too deep or substantial .;1
1119;2342;48009;Precocious smarter-than-thou wayward teen struggles to rebel against his oppressive , right-wing , propriety-obsessed family .;3
1120;683;15904;The year 's greatest adventure , and Jackson 's limited but enthusiastic adaptation has made literature literal without killing its soul -- a feat any thinking person is bound to appreciate .;4
1121;5022;96129;It 's a fun adventure movie for kids -LRB- of all ages -RRB- that like adventure .;4
1122;7016;130259;Judging by those standards , ` Scratch ' is a pretty decent little documentary .;3
1123;7680;141552;Marshall puts a suspenseful spin on standard horror flick formula .;3
1124;8319;152451;There 's no clear picture of who killed Bob Crane .;2
1125;5061;96847;A sense of real magic , perhaps .;3
1126;7490;138345;... `` Bowling for Columbine '' remains a disquieting and thought-provoking film ...;3
1127;6043;113695;I admit it , I hate to like it .;2
1128;2910;57728;The philosophical musings of the dialogue jar against the tawdry soap opera antics of the film 's action in a way that is surprisingly enjoyable .;2
1129;4600;88528;A movie that harps on media-constructed ` issues ' like whether compromise is the death of self ... this Orgasm -LRB- wo n't be an -RRB- exceedingly memorable one for most people .;1
1130;2104;43513;It 's a visual Rorschach test and I must have failed .;0
1131;8058;148054;So brisk is Wang 's pacing that none of the excellent cast are given air to breathe .;2
1132;6676;124303;Wickedly funny , visually engrossing , never boring , this movie challenges us to think about the ways we consume pop culture .;4
1133;4014;77973;McGrath has deftly trimmed Dickens ' wonderfully sprawling soap opera , the better to focus on the hero 's odyssey from cowering poverty to courage and happiness .;3
1134;2535;51476;` Synthetic ' is the best description of this well-meaning , beautifully produced film that sacrifices its promise for a high-powered star pedigree .;1
1135;3037;60187;An old-fashioned but emotionally stirring adventure tale of the kind they rarely make anymore .;3
1136;7645;140961;"Do n't let the subtitles fool you ; the movie only proves that Hollywood no longer has a monopoly on mindless action .";1
1137;6137;115229;The movie is without intent .;1
1138;3922;76361;Sheridan 's take on the author 's schoolboy memoir ... is a rather toothless take on a hard young life .;0
1139;6038;113569;a cruelly funny twist on teen comedy packed with inventive cinematic tricks and an ironically killer soundtrack;3
1140;43;1165;If a horror movie 's primary goal is to frighten and disturb , then They works spectacularly well ... A shiver-inducing , nerve-rattling ride .;4
1141;4076;79146;The bottom line is the piece works brilliantly .;3
1142;6649;123821;A bodice-ripper for intellectuals .;3
1143;2393;49010;Tiresomely derivative and hammily acted .;0
1144;7208;133618;A grittily beautiful film that looks , sounds , and feels more like an extended , open-ended poem than a traditionally structured story .;3
1145;6956;129374;The film desperately sinks further and further into comedy futility .;0
1146;751;17291;It 'll keep you wide awake and ... very tense .;3
1147;687;16007;Director Claude Chabrol has become the master of innuendo .;3
1148;2784;55679;Better effects , better acting and a hilarious Kenneth Branagh .;4
1149;2325;47708;This flat run at a hip-hop Tootsie is so poorly paced you could fit all of Pootie Tang in between its punchlines .;0
1150;4457;86101;... Myers has turned his franchise into the movie version of an adolescent dirty-joke book done up in post-Tarantino pop-culture riffs ...;2
1151;1119;24566;If the very concept makes you nervous ... you 'll have an idea of the film 's creepy , scary effectiveness .;2
1152;4451;86020;Although Frailty fits into a classic genre , in its script and execution it is a remarkably original work .;3
1153;7699;141935;Too smart to ignore but a little too smugly superior to like , this could be a movie that ends up slapping its target audience in the face by shooting itself in the foot .;1
1154;466;10922;Gets better after Foster leaves that little room .;3
1155;8410;153928;A winning and wildly fascinating work .;3
1156;7904;145458;For free .;2
1157;6273;117544;Earnest yet curiously tepid and choppy recycling in which predictability is the only winner .;1
1158;7334;135743;Tully is in many ways the perfect festival film : a calm , self-assured portrait of small town regret , love , duty and friendship that appeals to the storytelling instincts of a slightly more literate filmgoing audience .;4
1159;7551;139280;A pleasant piece of escapist entertainment .;4
1160;8068;148243;If anything , see it for Karen Black , who camps up a storm as a fringe feminist conspiracy theorist named Dirty Dick .;3
1161;4174;80979;Nothing here seems as funny as it did in Analyze This , not even Joe Viterelli as De Niro 's right-hand goombah .;1
1162;8364;153159;In his U.S. debut , Mr. Schnitzler proves himself a deft pace master and stylist .;4
1163;2573;52119;Expect no major discoveries , nor any stylish sizzle , but the film sits with square conviction and touching good sense on the experience of its women .;3
1164;360;8652;Those moviegoers who would automatically bypass a hip-hop documentary should give `` Scratch '' a second look .;4
1165;4801;92246;Two Weeks Notice has appeal beyond being a Sandra Bullock vehicle or a standard romantic comedy .;3
1166;2064;42759;Tunney , brimming with coltish , neurotic energy , holds the screen like a true star .;4
1167;6679;124359;Veers uncomfortably close to pro-Serb propaganda .;2
1168;186;4846;The Spalding Gray equivalent of a teen gross-out comedy .;2
1169;5316;101154;Maybe there 's a metaphor here , but figuring it out would n't make Trouble Every Day any better .;1
1170;8304;152209;Journalistically dubious , inept and often lethally dull .;0
1171;2570;52059;Predictably soulless techno-tripe .;0
1172;5422;102894;This documentary is a dazzling , remarkably unpretentious reminder of what -LRB- Evans -RRB- had , lost , and got back .;4
1173;6008;113114;One scene after another in this supposedly funny movie falls to the floor with a sickening thud .;1
1174;3926;76409;A vibrant whirlwind of love , family and all that goes with it , My Big Fat Greek Wedding is a non-stop funny feast of warmth , colour and cringe .;4
1175;1996;41485;Offers big , fat , dumb laughs that may make you hate yourself for giving in .;1
1176;1184;25842;More than simply a portrait of early extreme sports , this peek into the 1970s skateboard revolution is a skateboard film as social anthropology ...;2
1177;5469;103688;J. Lo will earn her share of the holiday box office pie , although this movie makes one thing perfectly clear : She 's a pretty woman , but she 's no working girl .;3
1178;1944;40589;It is sentimental but feels free to offend , is analytical and then surrenders to the illogic of its characters , is about grief and yet permits laughter .;4
1179;2095;43340;jumps around with little logic or continuity ,;1
1180;6306;118038;Passions , obsessions , and loneliest dark spots are pushed to their most virtuous limits , lending the narrative an unusually surreal tone .;3
1181;7193;133313;This comic gem is as delightful as it is derivative .;4
1182;2346;48106;I did n't smile .;1
1183;7027;130433;Everything is off .;1
1184;4123;80022;Reyes ' word processor .;2
1185;6642;123681;... passable enough for a shoot-out in the o.k. court house of life type of flick .;2
1186;7318;135498;It 's a Frankenstein-monster of a film that does n't know what it wants to be .;1
1187;3782;73947;It has its faults , but it is a kind , unapologetic , sweetheart of a movie , and Mandy Moore leaves a positive impression .;3
1188;7720;142303;Just a Kiss wants desperately to come off as a fanciful film about the typical problems of average people .;2
1189;2133;43992;Fathers and sons , and the uneasy bonds between them , rarely have received such a sophisticated and unsentimental treatment on the big screen as they do in this marvelous film .;4
1190;1864;39045;Leigh is n't breaking new ground , but he knows how a daily grind can kill love .;3
1191;222;5584;An even more predictable , cliche-ridden endeavor than its predecessor .;1
1192;7984;146751;The closest thing to the experience of space travel;3
1193;7403;136877;Craig Bartlett and director Tuck Tucker should be commended for illustrating the merits of fighting hard for something that really matters .;3
1194;6560;122368;The Good Girl is a film in which the talent is undeniable but the results are underwhelming .;1
1195;6513;121558;But the film itself is ultimately quite unengaging .;0
1196;7844;144462;-LRB- `` Take Care of My Cat '' -RRB- is an honestly nice little film that takes us on an examination of young adult life in urban South Korea through the hearts and minds of the five principals .;3
1197;6622;123355;Painfully padded .;1
1198;255;6431;Offers the flash of rock videos fused with solid performances and eerie atmosphere .;4
1199;3561;69973;Its premise is smart , but the execution is pretty weary .;1
1200;4787;91993;Defies logic , the laws of physics and almost anyone 's willingness to believe in it .;2
1201;5660;107127;... once the true impact of the day unfolds , the power of this movie is undeniable .;4
1202;7404;136900;A good thriller .;3
1203;4971;95259;In a strange way , Egoyan has done too much .;2
1204;7979;146670;The thought of watching this film with an audience full of teenagers fixating on its body humour and reinforcement of stereotypes -LRB- of which they 'll get plenty -RRB- fills me with revulsion .;0
1205;6881;127899;Directors Brett Morgen and Nanette Burstein have put together a bold biographical fantasia .;4
1206;8389;153623;Some fine acting , but ultimately a movie with no reason for being .;1
1207;2001;41556;It 's just too bad the screenwriters eventually shoot themselves in the feet with cop flick cliches like an oily arms dealer , squad car pile-ups and the requisite screaming captain .;0
1208;6164;115655;For more than two decades Mr. Nachtwey has traveled to places in the world devastated by war , famine and poverty and documented the cruelty and suffering he has found with an devastating , eloquent clarity .;3
1209;3645;71457;`` Brown Sugar '' admirably aspires to be more than another `` Best Man '' clone by weaving a theme throughout this funny film .;3
1210;1557;33224;A funny and well-contructed black comedy where the old adage `` be careful what you wish for '' is given a full workout .;4
1211;4295;83192;I ca n't .;2
1212;2188;45062;Um ... is n't that the basis for the entire plot ?;1
1213;2543;51589;A dark comedy that goes for sick and demented humor simply to do so .;1
1214;5324;101296;Mazel tov to a film about a family 's joyous life acting on the Yiddish stage .;4
1215;4681;89943;High drama , Disney-style - a wing and a prayer and a hunky has-been pursuing his castle in the sky .;3
1216;8270;151610;The film is hard to dismiss -- moody , thoughtful , and lit by flashes of mordant humor .;3
1217;6100;114643;It 's hard to imagine another director ever making his wife look so bad in a major movie .;0
1218;6085;114415;A genuinely moving and wisely unsentimental drama .;4
1219;8001;146995;One of those so-so films that could have been much better .;1
1220;784;17991;These guys seem great to knock back a beer with but they 're simply not funny performers .;1
1221;3196;63204;Otto-Sallies has a real filmmaker 's eye .;3
1222;6362;119018;... has its moments , but ultimately , its curmudgeon does n't quite make the cut of being placed on any list of favorites .;2
1223;395;9485;Maybe it is formula filmmaking , but there 's nothing wrong with that if the film is well-crafted and this one is .;3
1224;2815;56168;Far too clever by half , Howard 's film is really a series of strung-together moments , with all the spaces in between filled with fantasies , daydreams , memories and one fantastic visual trope after another .;0
1225;1391;29988;One of the funniest motion pictures of the year , but ... also one of the most curiously depressing .;3
1226;716;16602;... a visually seductive , unrepentantly trashy take on Rice 's second installment of her Vampire Chronicles .;2
1227;3249;64189;Predictable and cloying , though Brown Sugar is so earnest in its yearning for the days before rap went nihilistic that it summons more spirit and bite than your average formulaic romantic quadrangle .;3
1228;6412;119864;This latest installment of the horror film franchise that is apparently as invulnerable as its trademark villain has arrived for an incongruous summer playoff , demonstrating yet again that the era of the intelligent , well-made B movie is long gone .;1
1229;8052;147943;By and large this is Mr. Kilmer 's movie , and it 's his strongest performance since The Doors .;3
1230;7111;131897;Drawing on an irresistible , languid romanticism , Byler reveals the ways in which a sultry evening or a beer-fueled afternoon in the sun can inspire even the most retiring heart to venture forth .;4
1231;3940;76616;A compelling French psychological drama examining the encounter of an aloof father and his chilly son after 20 years apart .;3
1232;1586;33725;A memorable experience that , like many of his works , presents weighty issues colorfully wrapped up in his own idiosyncratic strain of kitschy goodwill .;3
1233;6428;120198;It 's Quaid who anchors the film with his effortless performance and that trademark grin of his -- so perfect for a ballplayer .;4
1234;1758;37080;Like all great films about a life you never knew existed , it offers much to absorb and even more to think about after the final frame .;4
1235;3739;73216;As it is , it 's too long and unfocused .;0
1236;7568;139494;The action scenes have all the suspense of a 20-car pileup , while the plot holes are big enough for a train car to drive through -- if Kaos had n't blown them all up .;0
1237;7049;130817;One-of-a-kind near-masterpiece .;4
1238;4796;92159;Bad in such a bizarre way that it 's almost worth seeing , if only to witness the crazy confluence of purpose and taste .;2
1239;1973;41148;is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his Halloween trip to the Haunted House .;0
1240;661;15417;Dong never pushes for insights beyond the superficial tensions of the dynamic he 's dissecting , and the film settles too easily along the contours of expectation .;1
1241;1243;27039;Boasts eye-catching art direction but has a forcefully quirky tone that quickly wears out its limited welcome .;1
1242;1146;25071;One of the most plain , unimaginative romantic comedies I 've ever seen .;1
1243;1641;34865;Although mainstream American movies tend to exploit the familiar , every once in a while a film arrives from the margin that gives viewers a chance to learn , to grow , to travel .;3
1244;4270;82697;This is one of the biggest disappointments of the year .;0
