;SentenceId;PhraseId;Phrase;Sentiment
4525;4530;87346;Rarely , a movie is more than a movie .;3
4508;4513;87047;Deflated ending aside , there 's much to recommend the film .;3
5161;5167;98597;Third time 's the charm ... yeah , baby !;4
4987;4993;95605;Its weighty themes are too grave for youngsters , but the story is too steeped in fairy tales and other childish things to appeal much to teenagers .;1
5239;5245;99950;It 's not particularly subtle ... However , it still manages to build to a terrifying , if obvious , conclusion .;2
4316;4320;83579;The following things are not at all entertaining : The bad sound , the lack of climax and , worst of all , watching Seinfeld -LRB- who is also one of the film 's producers -RRB- do everything he can to look like a good guy .;0
4307;4311;83435;It 's not particularly well made , but since I found myself howling more than cringing , I 'd say the film works .;3
4777;4783;91909;Never does `` Lilo & Stitch '' reach the emotion or timelessness of Disney 's great past , or even that of more recent successes such as `` Mulan '' or `` Tarzan . '';1
5016;5022;96129;It 's a fun adventure movie for kids -LRB- of all ages -RRB- that like adventure .;4
4640;4645;89350;Only in its final surprising shots does Rabbit-Proof Fence find the authority it 's looking for .;2
4528;4533;87398;Merchant has n't directed this movie so much as produced it -- like sausage .;2
4557;4562;87833;I did n't think so .;2
4581;4586;88289;It should be interesting , it should be poignant , it turns out to be affected and boring .;1
4754;4759;91471;The story is virtually impossible to follow here , but there 's a certain style and wit to the dialogue .;2
4502;4507;86932;It 's a shame the marvelous first 101 minutes have to be combined with the misconceived final 5 .;1
4711;4716;90594;Stale first act , Scrooge story , blatant product placement , some very good comedic songs , strong finish , dumb fart jokes .;1
4655;4660;89591;Wiseman is patient and uncompromising , letting his camera observe and record the lives of women torn apart by a legacy of abuse .;3
4698;4703;90368;Beautiful , angry and sad , with a curious sick poetry , as if the Marquis de Sade had gone in for pastel landscapes .;3
5183;5189;98930;Disreputable doings and exquisite trappings are dampened by a lackluster script and substandard performances .;1
4862;4868;93318;While Scorsese 's bold images and generally smart casting ensure that `` Gangs '' is never lethargic , the movie is hindered by a central plot that 's peppered with false starts and populated by characters who are nearly impossible to care about .;1
4319;4323;83635;An exhilarating serving of movie fluff .;2
4681;4686;90050;No film could possibly be more contemptuous of the single female population .;0
5318;5324;101296;Mazel tov to a film about a family 's joyous life acting on the Yiddish stage .;4
5215;5221;99557;may prove to be -LRB- Tsai 's -RRB- masterpiece .;4
4362;4367;84422;This version of H.G. Wells ' Time Machine was directed by H.G. Wells ' great-grandson .;2
4787;4793;92079;It has the right approach and the right opening premise , but it lacks the zest and it goes for a plot twist instead of trusting the material .;2
4979;4985;95429;True to its animatronic roots : ... as stiff , ponderous and charmless as a mechanical apparatus ... ` The Country Bears ' should never have been brought out of hibernation .;0
4388;4393;84968;Is it possible for a documentary to be utterly entranced by its subject and still show virtually no understanding of it ?;1
4278;4282;82934;An infuriating film .;0
4697;4702;90332;This is rote spookiness , with nary an original idea -LRB- or role , or edit , or score , or anything , really -RRB- in sight , and the whole of the proceedings beg the question ` Why ? ';0
4374;4379;84624;Sewer rats could watch this movie and be so skeeved out that they 'd need a shower .;0
4601;4606;88641;This odd , distant Portuguese import more or less borrows from Bad Lieutenant and Les Vampires , and comes up with a kind of art-house gay porn film .;1
4800;4806;92330;Michael Moore 's latest documentary about America 's thirst for violence is his best film yet ...;4
5322;5328;101349;This is a remake by the numbers , linking a halfwit plot to a series of standup routines in which Wilson and Murphy show how funny they could have been in a more ambitious movie .;1
4452;4457;86101;... Myers has turned his franchise into the movie version of an adolescent dirty-joke book done up in post-Tarantino pop-culture riffs ...;2
4434;4439;85794;Ferrara 's strongest and most touching movie of recent years .;4
4300;4304;83342;A well-rounded tribute to a man whose achievements -- and complexities -- reached far beyond the end zone .;4
5187;5193;99021;The observations of this social\/economic\/urban environment are canny and spiced with irony .;3
4799;4805;92304;"The kids in the audience at the preview screening seemed bored , cheering the pratfalls but little else ; their parents , wise folks that they are , read books .";1
5285;5291;100734;Peppered with witty dialogue and inventive moments .;4
4735;4740;91105;A damn fine and a truly distinctive and a deeply pertinent film .;4
4946;4952;94887;-LRB- Creates -RRB- the worst kind of mythologizing , the kind that sacrifices real heroism and abject suffering for melodrama .;0
4582;4587;88304;With an unflappable air of decadent urbanity , Everett remains a perfect Wildean actor , and a relaxed Firth displays impeccable comic skill .;4
4490;4495;86756;There 's something to be said for a studio-produced film that never bothers to hand viewers a suitcase full of easy answers .;3
4496;4501;86865;This is an interesting movie ! '';4
5158;5164;98510;No worse a film than Breaking Out , and Breaking Out was utterly charming .;3
5240;5246;99969;A terrific insider look at the star-making machinery of tinseltown .;3
5305;5311;101085;... spellbinding fun and deliciously exploitative .;4
4323;4327;83709;Goldmember is funny enough to justify the embarrassment of bringing a barf bag to the moviehouse .;2
5018;5024;96168;A great script brought down by lousy direction .;1
5008;5014;95965;Whereas the extremely competent hitman films such as Pulp Fiction and Get Shorty resonate a sardonic verve to their caustic purpose for existing , Who Is Cletis Tout ?;2
4590;4595;88427;Thought-provoking and stylish , if also somewhat hermetic .;3
4463;4468;86281;Transcends its agenda to deliver awe-inspiring , at times sublime , visuals and offer a fascinating glimpse into the subculture of extreme athletes whose derring-do puts the X into the games .;4
4419;4424;85544;Like blended shades of lipstick , these components combine into one terrific story with lots of laughs .;4
4294;4298;83233;Terminally bland , painfully slow and needlessly confusing ... The movie , shot on digital videotape rather than film , is frequently indecipherable .;1
4868;4874;93486;Chamber of Secrets will find millions of eager fans .;4
4572;4577;88117;The most surprising thing about this film is that they are actually releasing it into theaters .;0
4914;4920;94270;Both a beautifully made nature film and a tribute to a woman whose passion for this region and its inhabitants still shines in her quiet blue eyes .;4
5062;5068;96949;A weird little movie that 's amusing enough while you watch it , offering fine acting moments and pungent insights into modern L.A. 's show-biz and media subcultures .;3
4300;4304;83342;A well-rounded tribute to a man whose achievements -- and complexities -- reached far beyond the end zone .;4
5257;5263;100302;Until -LRB- the -RRB- superfluous ... epilogue that leaks suspension of disbelief like a sieve , Die Another Day is as stimulating & heart-rate-raising as any James Bond thriller .;2
5049;5055;96777;Knockaround Guys plays like a student film by two guys who desperately want to be Quentin Tarantino when they grow up .;1
4843;4849;93064;It 's hard to imagine acting that could be any flatter .;0
4416;4421;85474;K-19 will not go down in the annals of cinema as one of the great submarine stories , but it is an engaging and exciting narrative of Man confronting the Demons of his own fear and paranoia .;3
4903;4909;94080;Secretary manages a neat trick , bundling the flowers of perversity , comedy and romance into a strangely tempting bouquet of a movie .;4
4970;4976;95333;` What 's the Russian word for Wow !? ';3
4653;4658;89561;Boasts a handful of virtuosic set pieces and offers a fair amount of trashy , kinky fun .;3
5241;5247;99982;The complex , politically charged tapestry of contemporary Chinese life this exciting new filmmaker has brought to the screen is like nothing we Westerners have seen before .;3
4564;4569;87968;It 's just plain lurid when it is n't downright silly .;1
4963;4969;95232;It tends to remind one of a really solid Woody Allen film , with its excellent use of New York locales and sharp writing;4
5005;5011;95917;The movie is pretty funny now and then without in any way demeaning its subjects .;3
4880;4886;93697;Love Liza is a festival film that would have been better off staying on the festival circuit .;1
5070;5076;97089;If you are into splatter movies , then you will probably have a reasonably good time with The Salton Sea .;3
5122;5128;97928;Austin Powers for the most part is extremely funny , the first part making up for any flaws that come later .;3
4541;4546;87573;, The Sum of All Fears is simply a well-made and satisfying thriller .;4
5238;5244;99945;... really horrible drek .;0
4728;4733;90978;A retread of material already thoroughly plumbed by Martin Scorsese .;1
4391;4396;85014;A solidly entertaining little film .;3
4938;4944;94748;Completely creatively stillborn and executed in a manner that I 'm not sure could be a single iota worse ... a soulless hunk of exploitative garbage .;0
4383;4388;84838;Like an episode of MTV 's Undressed , with 20 times the creativity but without any more substance ... indulgently entertaining but could have and should have been deeper .;2
4783;4789;92036;An impressive hybrid .;4
5308;5314;101108;can be as tiresome as 9 seconds of Jesse Helms ' anti- Castro rhetoric , which are included;1
4464;4469;86316;The people in Jessica are so recognizable and true that , as in real life , we 're never sure how things will work out .;3
4395;4400;85063;There are deeply religious and spiritual people in this world who would argue that entering a church , synagogue or temple does n't mean you have to check your brain at the door .;3
4931;4937;94568;No one involved , save Dash , shows the slightest aptitude for acting , and the script , credited to director Abdul Malik Abbott and Ernest ` Tron ' Anderson , seems entirely improvised .;0
4769;4775;91761;So-so entertainment .;2
5245;5251;100071;The entire movie is so formulaic and forgettable that it 's hardly over before it begins to fade from memory .;0
5314;5320;101207;It 's a familiar story , but one that is presented with great sympathy and intelligence .;3
5083;5089;97318;The cast , collectively a successful example of the lovable-loser protagonist , shows deft comic timing .;3
4928;4934;94519;but rather , ` How can you charge money for this ? ';0
4962;4968;95224;A straight-ahead thriller that never rises above superficiality .;1
5202;5208;99306;If you 're in the right B-movie frame of mind , it may just scare the pants off you .;3
4747;4752;91348;` Sophisticated ' viewers who refuse to admit that they do n't like it will likely call it ` challenging ' to their fellow sophisticates .;2
5298;5304;100967;... the implication is Kissinger may have decided that -- when it comes to truncheoning -- it 's better to give than to receive .;2
5212;5218;99501;A highly personal look at the effects of living a dysfunctionally privileged lifestyle , and by the end , we only wish we could have spent more time in its world .;2
